   352136366837N  54281411122221332 0 031 62316001 06003000060032 1204311988002 0 00001 32698 01251498 01 01 227117777777172 11 0 00001000AR01 00 15221321313212
   362137986637N  4615142202222033138 873 03220901 02003000020032 1204362 00002 0 00001 32698 03 0 0 0 01 01 122122122221113 11 0 00001000OH01 00 57210013323212
   372099528677N  3304041122222732115 113 03213000 0000000000000116104172 00002 0 000019819329811498 0 00 00 001711722122723 12 1130001000TX01 00 20102321112212
   384159228575N   1610422021220332 0 031 61420901 06003000060032 1204 01988002 0 00003 0 0 0 00 0 0 0 08 02 087100100000770 11 0 00001000MS02 00 27210123413212
   392137535637N  23731411122222332 0 031 61420901 05003000050032 1204221222402 0 00001 398 0 03 0 0 0 02422 082101112111113 11 0 00001000MS02 00  6211322413212
   402137946637N  46041411212226332 0 031114212002 4000050035003120104121988002 0 00003 0 0 0 0198 0 0 00 00 002222721221123 11 0 00001000CA10 00 12152321313212
   412094638677N     8141111222122145 532163212112 80000500150012 1204361232102 0 00001 32598 01 498 0 01 01 632711112271172 11 0 00001000CA20 00 55131321313212
   422137746837N  54281411122222332 0 031 63112001 01422000014222 1204 01312402 0 00001 398 0 01 498 0 02422 022121122121113 11 0 00001000TX02 00 61151321313212
   432094638677N     81411121221332 0 032 55414001 05003000050032 1204312 00002 0 00001 398 0 0198 0 0 02981 132711172122122 11 0 00001000AR01 00 14221222313212
   442092375219N     91411122221332 0 032174212211 01123000011232 1204271232402 0 00001 398 0 012698 0 01 01 182121111122223 11 0 00001000TN01 00 54231323113212
   452136026837H  57060111322223332 0 073 03120901 01823000018231 3301121232201 323240126 398 012598 0 02422 031177171111113 20 0 0122 662ZZ08 12 65212311211111
   462136936637H  50210122012221222 0 013 04120902 2000014231423146302 00 00002 0 00000 0 0 0 00 0 0 0 00 00 002171171771103 1214140001000NY01 00 59130322322212
   472138966737N1032021411122226232 0 032 17320901 0112300001123120104362 00002 0 00003 0 0 0 03 0 0 0 00 00 002172721111223 11 0 00001000CA20 00 47162311123212
   482133996937N  27350411122225221 91032176212121 0132300001323125104322 00002 0 00001 798 0 01 698 0 00 00 002112272121123 11 0 00001000NY01 00 39182311313212
   4941548949 1N440305041112222212137 832176212001 01113000011134 4414311151032 0 0000198 0 0 0198 0 0 02421 121177172171113 30 0 0112 581ZZ08 00 51242311111212
   502136386837N5401020411222226232 0 032174120901 0200300002003114104 02 00002 0 00003 0 0 0 03 0 0 0 00 00 001222112171222 11 0 00001000CA10 00 49212311213212
   517149861171A    100222022225332 0 003 04120902 90000192319233 8454361202402 0 000022698 0 03 0 0 0 02982 011121171172272 90 0 0122 802ZZ08140 59210311321111
   522136776837H  60160121322225332 0 013 01214311 02003000020036 3301141202102 0 00000 0 0 0 03 0 0 0 03 02 021122121212112 20 0 0111 742ZZ08 10 50220311211111
   5341578549 1H  43610122022222332 0 003 02312001 01811000018116 3301311312402 0 00001 398 0 02 498 0 03 01 427172177117113 11 0 00001000CO02 00 48210221313212
   542095378699H    250111122211322 0 013 04120901 014230000142312710436123240142 12403 0 0 0 011098 0 00 00 002112112122723 11 0 00001000CA20 00 56141321213212
   552136366837N  5428141112222333120 332 56111001 01123000011235 2504312 00002 0 00003 0 0 0 01 498 0 03 02 021111121111113 11 0 00001000IA02 00 42211121113212
   566192628073N  31031411122221322 0 032 14120902 30000112311232 120431131240132988001 2 326253 0 0 0 02422 021222112121222 11 0 00001000CA10 00 63161321213212
   572092685219N     9141112211232145 531 64312212160000200320032 1204 11311082 0 0000145 326281 498 0 01 01 232127117101112 11 0 00001000CA10 00 50111321113212
   582137325637J  21931211222226331851153 05211001 06003000060033 6434312 00001 3312403 0 0 0 03 0 0 0 03 02 021117272121222 12 7 70001000CA10 00 22232312122212
   592137976637N  46041411112111111 21063 06313001 0152100001521121104 12 00002 0 00001 398 0 03 0 0 0 00 00 002172721277223 1213980001000MI01 00 33151311112212
   602137946637N  4604141112222422137 863 04120902 30000142114212 120427131240126312401 32698 01 42998 02 41 437121122111213 11 0 00001000CA20 00 60162311313212
   612133926937N  27330411122212332 0 032 47120901 0400300004003114104312 00002 0 00003 0 0 0 03 0 0 0 00 00 002122111121223 12 1130001000CT01 00 57211311112212
   624155868581N  60050421222227332 0 003 04120902 3000050025002119104282 00002 0 00001 3 498 03 0 0 0 00 00 007707777777770 11 0 00001000CA10 00 62100312313212
   632137375637N  22130411122121112 0 032 37320901 0500300005003116104352 00002 0 00001 398 0 03 0 0 0 00 00 002122121211223 11 0 00001000MI01 00  5211321113212
